date,strain_collection_id,strain_name,strain_id,query_name,query_id,control_query_id,plate,row,column,n,sd,mean,n_ctrl,sd_ctrl,mean_ctrl,growth_ratio,log2_fold_change,sd_log2_fold_change,z_score
4/26/20,MATa-deletion-384,ire1,rec1907,GAL1p-nsp4,pWJ2754,pWJ1781,4,5,4,4,0.070439339,0.301371789,4,0.021353145,1.028301262,0.29314607,-1.770308377,0.287945373,-6.185217159
4/26/20,MATa-deletion-384,hhf1,rec3144,GAL1p-nsp4,pWJ2754,pWJ1781,14,15,18,4,0.027492053,0.202277815,4,0.169434141,0.637380663,0.317465026,-1.655330432,0.287945373,-5.785912446
4/26/20,MATa-deletion-384,yfl032w,rec5651,GAL1p-nsp4,pWJ2754,pWJ1781,8,7,22,4,0.086084638,0.271469781,4,0.139502667,0.752512568,0.360836096,-1.47058443,0.287945373,-5.144311573
4/26/20,MATa-deletion-384,hhy1,rec301,GAL1p-nsp4,pWJ2754,pWJ1781,3,15,9,4,0.019287802,0.237306231,4,0.052600206,0.566874504,0.418724703,-1.255926062,0.287945373,-4.398828617
4/26/20,MATa-deletion-384,rrp6,rec1777,GAL1p-nsp4,pWJ2754,pWJ1781,2,4,15,4,0.029732042,0.343574929,4,0.06403524,0.791480298,0.434163066,-1.203691094,0.287945373,-4.217422792
4/26/20,MATa-deletion-384,isa2,rec7151,GAL1p-nsp4,pWJ2754,pWJ1781,13,15,2,4,0.023176965,0.269578698,4,0.062231646,0.613396903,0.439576299,-1.185814494,0.287945373,-4.155339489
4/26/20,MATa-deletion-384,hac1,rec5650,GAL1p-nsp4,pWJ2754,pWJ1781,8,7,20,4,0.080100697,0.32887305,4,0.04647063,0.747254524,0.440183394,-1.183823376,0.287945373,-4.148424574
4/26/20,MATa-deletion-384,eaf7,rec2940,GAL1p-nsp4,pWJ2754,pWJ1781,11,12,5,4,0.033225984,0.300094401,4,0.027556671,0.668034065,0.449302642,-1.15424055,0.287945373,-4.045686938
4/26/20,MATa-deletion-384,ctf19,rec2810,GAL1p-nsp4,pWJ2754,pWJ1781,7,8,2,4,0.061593057,0.422246359,4,0.026109265,0.932421315,0.452907995,-1.142710088,0.287945373,-4.005643019
4/26/20,MATa-deletion-384,hua2,rec2540,GAL1p-nsp4,pWJ2754,pWJ1781,5,15,19,4,0.094262723,0.558273244,4,0.12712392,1.186811538,0.470442174,-1.087910694,0.287945373,-3.815331247
