date,strain_collection_id,strain_name,strain_id,query_name,query_id,control_query_id,plate,row,column,n,sd,mean,n_ctrl,sd_ctrl,mean_ctrl,growth_ratio,log2_fold_change,sd_log2_fold_change,z_score
4/26/20,MATa-deletion-384,ire1,rec1907,GAL1p-Orf8,pWJ2755,pWJ1781,4,5,4,4,0.031395475,0.301896337,4,0.021353145,1.028301262,0.293656133,-1.767800328,0.250512415,-7.126865397
4/26/20,MATa-deletion-384,yfl032w,rec5651,GAL1p-Orf8,pWJ2755,pWJ1781,8,7,22,4,0.036734768,0.229846994,4,0.139502667,0.752512568,0.305531695,-1.710606045,0.250512415,-6.898556221
4/26/20,MATa-deletion-384,hac1,rec5650,GAL1p-Orf8,pWJ2755,pWJ1781,8,7,20,4,0.03959267,0.248284288,4,0.04647063,0.747254524,0.332351354,-1.589218864,0.250512415,-6.414000673
4/26/20,MATa-deletion-384,ssk2,rec5406,GAL1p-Orf8,pWJ2755,pWJ1781,14,11,4,4,0.0717695,0.335303437,4,0.098837276,0.777744727,0.431195874,-1.213584721,0.250512415,-4.914537492
4/26/20,MATa-deletion-384,tgl4,rec6005,GAL1p-Orf8,pWJ2755,pWJ1781,9,13,19,4,0.085402123,0.313766983,4,0.097745751,0.682562485,0.459768905,-1.121019198,0.250512415,-4.545032758
4/26/20,MATa-deletion-384,rpl21b,rec2749,GAL1p-Orf8,pWJ2755,pWJ1781,6,15,1,4,0.096709688,0.155244615,4,0.084633365,0.313488466,0.495377325,-1.013400262,0.250512415,-4.115437539
4/26/20,MATa-deletion-384,ybr287w,rec7173,GAL1p-Orf8,pWJ2755,pWJ1781,11,15,19,4,0.063210835,0.421405549,4,0.118530361,0.838091487,0.502875006,-0.991728244,0.250512415,-4.028926785
4/26/20,MATa-deletion-384,whi2,rec1819,GAL1p-Orf8,pWJ2755,pWJ1781,2,10,23,4,0.123947269,0.402601737,4,0.069622313,0.781014898,0.515547378,-0.95582308,0.250512415,-3.885599902
4/26/20,MATa-deletion-384,ski8,rec4579,GAL1p-Orf8,pWJ2755,pWJ1781,6,1,21,4,0.069420975,0.305031914,4,0.152342088,0.583988488,0.522406999,-0.936753868,0.250512415,-3.809479076
4/26/20,MATa-deletion-384,ure2,rec1983,GAL1p-Orf8,pWJ2755,pWJ1781,7,9,23,4,0.135400778,0.45463389,4,0.154752893,0.866499881,0.524733386,-0.930343511,0.250512415,-3.783890094
4/26/20,MATa-deletion-384,yil028w,rec1421,GAL1p-Orf8,pWJ2755,pWJ1781,8,14,5,4,0.083975097,0.371356855,4,0.10429114,0.697653767,0.532360945,-0.90952336,0.250512415,-3.700779838
4/26/20,MATa-deletion-384,pun1,rec5322,GAL1p-Orf8,pWJ2755,pWJ1781,6,8,13,4,0.035559202,0.38165889,4,0.042212213,0.697587469,0.547177507,-0.869919169,0.250512415,-3.542687112
4/26/20,MATa-deletion-384,cys3,rec6865,GAL1p-Orf8,pWJ2755,pWJ1781,10,10,24,4,0.044379369,0.190502317,4,0.077872852,0.332204964,0.573576499,-0.801942182,0.250512415,-3.271335343
4/26/20,MATa-deletion-384,sam37,rec6069,GAL1p-Orf8,pWJ2755,pWJ1781,10,6,24,4,0.174529512,0.38963435,4,0.185999326,0.678858629,0.574017816,-0.800832579,0.250512415,-3.26690601
