ORF,Batch,Gene,GO_process,GO_function,GO_component,deletion_phenotype,result_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,significant_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,rank_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,result_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,significant_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,rank_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,result_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,result_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20
YLR032W,chr00_8,RAD5,DNA repair,ATPase activity,nuclear chromatin,viable,5.39743,1,1,4.85867,1,1,2.89154,1,34,2.87146,1,38
YML095C,chr00_9,RAD10,removal of nonhomologous ends*,single-stranded DNA specific endodeoxyribonuclease activity,nucleotide excision repair factor 1 complex,viable,4.59154,1,2,4.5672,1,3,7.78883,1,1,7.53351,1,2
YER162C,chr00_5,RAD4,"nucleotide-excision repair, DNA damage recognition",damaged DNA binding,repairosome*,viable,4.57231,1,3,4.17071,1,4,6.71092,1,6,6.30273,1,7
YCR066W,chr00_1,RAD18,DNA repair,ubiquitin conjugating enzyme activity*,nuclear chromatin,viable,4.21659,1,4,4.15205,1,5,1.34299,0,183,1.02821,0,285
YPL022W,chr16_3,RAD1,removal of nonhomologous ends*,single-stranded DNA specific endodeoxyribonuclease activity,nucleotide excision repair factor 1 complex,viable,3.99048,1,5,3.95971,1,7,6.1733,1,9,5.69922,1,8
YGL163C,chr7_2,RAD54,chromatin remodeling*,DNA-dependent ATPase activity*,nucleus,viable,3.92705,1,6,3.42071,1,11,0,0,1666,0,0,1666
YMR201C,chr13_4,RAD14,"nucleotide-excision repair, DNA damage recognition",damaged DNA binding,nucleotide excision repair factor 1 complex,viable,3.48955,1,7,4.575,1,2,5.89636,1,11,5.60674,1,9
YJR043C,chr00_13,POL32,lagging strand elongation*,delta DNA polymerase activity,nucleus*,viable,3.48604,1,8,2.76326,1,15,1.88038,0,82,1.61238,0,108
YDR004W,chr4_3,RAD57,telomerase-independent telomere maintenance*,protein binding,nucleus,viable,3.48148,1,9,3.64621,1,9,0.830425,0,365,0.579855,0,581
YMR137C,chr00_11,PSO2,DNA repair*,damaged DNA binding,nucleus,viable,3.38943,1,10,3.72748,1,8,7.77676,1,2,7.58045,1,1
